Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ecuador,ECU,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,1009075807,1080977278,1015827333,1541717569,2002942790,1787782199,2011360128,2212962683,1738909755,1887630504,1178958456,1073533298,1004402766,1165340428,1439913955,2147944603,2026480314,3520672992,4472854631,3792122232,2622493356,2957999384,2486036144,4345840333,3941357098,2487276600,4215553160,2169697857,2158694032,2940235064,2622493356
"Egypt, Arab Rep.",EGY,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,3619931743,6185285501,11620220748,13854276439,14412967685,17121798674,18296476061,19370588198,18823907998,15190021677,13785040868,13598234040,14076054423,14603576021,15338514717,21856784929,26006845068,32214421786,34330505048,34896678266,37028506135,18637541110,15672467971,16536236826,14926998052,15858887326,23642691706,36400242556,41839242991,44568837112,37028506135
Euro area,EMU,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,3.74E+11,3.52E+11,3.46E+11,3.84E+11,3.87E+11,3.83E+11,3.78E+11,4.29E+11,5.10E+11,5.22E+11,6.60E+11,7.88E+11,8.48E+11,9.09E+11,7.48E+11,7.46E+11,7.02E+11,7.42E+11,8.03E+11,8.23E+11,9.14E+11,7.88E+11
Eritrea,ERI,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,40490517.08,81319532.68,229576077,68154685.29,58866380.33,36131624.54,50449873.4,30282531.92,24707771.97,34746846.59,27944199.05,23576837.33,32407629.66,56020972.23,90010612.77,114149602.7,115328815.9,132764717.8,133338047.5,151753160.4,145070693.2,145371150.9,143412422.7,163033689.4,191694416.4,114149602.7
Spain,ESP,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,57238070968,71344881793,50708513479,47145829669,47531541940,40530652088,63699008717,72934647813,60881358763,37999943736,35607623345,34235520830,40303470181,26809451669,19758627233,17227460742,19339948067,19028952268,20288388624,28051366380,31871836373,46704835357,50588475477,46335465038,50411846512,53973842236,63039926529,69400198866,70633189428,74731427284,31871836373
Estonia,EST,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,197501539.8,389247542.8,446418559.4,583006266.3,639770386.8,760039371.1,812906422.6,855813709.2,922839655.6,822453577.6,1003157301,1376698670,1791730277,1947311947,2786325227,3269362367,3971834389,3980641013,2567138087,207115695.5,300659803.2,314406126.7,436832954.5,414798362.4,352140743.4,345036507.9,755005588.3,1426439025,2567138087
Ethiopia,ETH,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,55191078.3,106436547.4,270054786,499938564.1,587541810.7,815019143.3,843310624.1,588431597.6,598411583.4,546583393.6,362554236.6,489895094.9,965896480.1,955608348.1,1496784362,1042595212,867438393.6,1289865496,870502510.2,1780874214,2241164556,2837310958,2301655548,2363513607,3525244981,3835287576,3030943951,3045571315,3987464166,2992718523,2241164556
Finland,FIN,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,10414929121,8316763636,5880752714,6192945395,11429608315,10657228465,7507184580,8881026948,10270793473,8677453197,8409731733,8419388663,9825470848,11172946882,12913570497,11331633301,7498639358,8380474053,8353577867,11428834792,9547427725,10276057418,11082344912,11272356806,10679250780,10016275637,10465361380,10506846392,10309164187,11426621293,9547427725
Fiji,FJI,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,261102710.8,271708384.4,317136684.6,269769155.7,273445494.7,349341745.4,427533360.9,360519079.2,385903314.1,428919685.9,412013921.2,366383704.1,358935030.8,423606706.3,483077920,321301682,313300289,528272571.1,322181205,570005077.9,720523356.8,833453464.2,921305920.6,941826993.4,916407090.6,918959350.4,908823039.8,1116363704,947653331.9,1043304264,720523356.8
France,FRA,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,68290938862,60227056602,54305667501,54624424139,57627249048,58509689575,57020073080,54693127782,73773200168,67926850858,63728079968,58637344264,61696755317,70762382919,77353273269,74359915676,98239163383,1.15E+11,1.03E+11,1.32E+11,1.66E+11,1.68E+11,1.85E+11,1.45E+11,1.44E+11,1.38E+11,1.46E+11,1.56E+11,1.66E+11,1.89E+11,1.66E+11
"Micronesia, Fed. Sts.",FSM,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,69499661.38,89600207.56,85801084.26,101601919.4,92668897.75,113047175.6,98330197.78,117391173.1,89607067.38,54838730.41,49953309.04,46622757.94,48479465.98,39986224.52,55718614.22,55763850.9,75062413.21,76796329.99,84343095.8,114124949.5,135114898.3,156984836.4,203718873.5,203528219.2,397158244.6,55763850.9
Gabon,GAB,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,278707082.3,332016185.6,75487379.43,5765214.984,180108557.8,153050967.7,253455806,286326931.5,19102566.66,21672801.06,193613824.3,13399793.74,144051938.5,201927545.2,449046100.9,675149856.2,1121592476,1237944498,1934656663,1993241390,1735883130,2157316879,2351562307,3003573133,2478480388,1863120981,789346604.5,965054219.2,1321051089,,1735883130
United Kingdom,GBR,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,43145747847,48572195809,42844142574,43982206194,48079032624,49144184298,46700021360,37662299516,38829795838,46188288222,50939389681,47417467709,54959281999,56349681040,62138194999,59135108205,63823577314,77715465907,64785716443,79453490100,98025460114,1.10E+11,1.17E+11,1.19E+11,1.24E+11,1.48E+11,1.35E+11,1.51E+11,1.73E+11,1.74E+11,98025460114
Georgia,GEO,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,198511607,191373447.2,201708671.4,132881224.2,144363950.6,115965903.6,161941585.5,202176074.1,196198029.7,386676416.9,478637800.6,930833393.9,1361156504,1480157559,2110323626,2263794873,2818191101,2872949024,2823383516,2699169280,2520721328,2756383663,3038762324,3289463517,3505823162,2263794873
Ghana,GHA,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,309313690.6,644302479.8,411555106.2,516970166.3,689267657,803820975.1,930268682.1,617628952.5,456699772.6,534753901.9,308900898.4,375936405.5,636059800,1470061310,1749729259,1897057040,2268926567,2218311348,2014205287,3691822335,5158151629,5913600037,5835098328,5587739126,5563709271,5742645886,5866729596,7015187160,6294851564,7563210341,5158151629
Guinea,GIN,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,145115266.9,98619458.75,133290226.1,87847083.13,86759318.84,87340118.26,121631871.1,236706990.9,199679963.6,167593505.2,208565056.9,263312234.5,281862972.1,111780254.7,96326734.16,39685709.65,46811611.56,55670498.07,414058705.5,301523167,947127106,762910589.2,853868946.5,983956002.3,654251935.8,803901252.9,942834196.9,1205167153,1417701131,301523167
"Gambia, The",GMB,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,55386774.69,67615345.66,94033759.95,105752905.7,98016031.71,106146503,102133831.5,96038245.65,106362060.4,111246412.8,109431118.9,106013174.4,106877406.7,59306559.03,83774361.47,98312848.54,120615997.8,142784444.7,116517123,224175097.1,201627626.7,223241852.8,236241441.1,210553598.7,159330829.4,111040203.2,87635582.42,169969976.5,191773261,,201627626.7
Equatorial Guinea,GNQ,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,706734.7933,9473863.037,13408610.62,480802.1375,390332.7673,40812.3155,516467.2052,4933006.059,803295.4119,3353991.191,23008388.64,70851809.33,88540317.13,237691328.6,944982405.4,2102494662,3066739319,3845916300,4431191816,3251937926,2346355216,3053840572,4396979377,4566537481,2906843391,1205154516,62307444.14,45502925.11,48929813.61,,2346355216
Greece,GRC,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,4721071254,6400005237,5937644103,9135322990,15809339689,16118557930,18782300412,13652307051,18501070728,19352094678,14594006579,6244166654,9431530975,5801377075,2707782609,2287009893,2849953559,3647605325,3489670238,5486122598,6352405963,6743416891,7255024355,5763071364,6236284819,6027606781,6851247713,7803722132,7578500699,8507452887,6352405963
